subjectid,flanker_rt,flanker_accuracy,flanker_error_rate,stroop_rt,stroop_accuracy,stroop_error_rate,sart_rt,sart_accuracy,sart_error_rate
63,413.63448275862066,0.9862068965517241,0.01379310344827589,714.7773722627737,0.9744525547445255,0.025547445255474477,336.17302052785925,0.9501466275659824,0.04985337243401755
64,411.78620689655173,0.9655172413793104,0.03448275862068961,592.6357142857142,0.9857142857142858,0.014285714285714235,346.0145631067961,0.9660194174757282,0.03398058252427183
65,377.4758620689655,0.993103448275862,0.006896551724137945,790.0935251798561,0.9640287769784173,0.03597122302158273,297.8632075471698,0.9245283018867925,0.07547169811320753
66,423.3724137931035,0.9896551724137931,0.010344827586206917,615.4214285714286,0.9892857142857143,0.010714285714285676,376.21014492753625,0.966183574879227,0.033816425120772986
67,407.4896551724138,0.993103448275862,0.006896551724137945,773.3695652173913,0.9782608695652174,0.021739130434782594,334.4,0.9560975609756097,0.04390243902439028
68,336.65862068965515,0.9689655172413794,0.03103448275862064,678.1611721611722,0.9487179487179487,0.05128205128205132,296.8412698412698,0.9391534391534392,0.060846560846560815
69,396.48275862068965,0.993103448275862,0.006896551724137945,599.1642857142857,0.9571428571428572,0.042857142857142816,284.0235294117647,0.9058823529411765,0.09411764705882353
70,379.43055555555554,0.9305555555555556,0.06944444444444442,716.3785714285714,0.9357142857142857,0.06428571428571428,323.71794871794873,0.9230769230769231,0.07692307692307687
71,694.5724137931035,0.9655172413793104,0.03448275862068961,1174.260162601626,0.991869918699187,0.008130081300813052,452.1161616161616,0.9444444444444444,0.05555555555555558
72,451.0137931034483,0.9793103448275862,0.020689655172413834,931.2388059701492,0.9776119402985075,0.02238805970149249,377.22549019607845,0.9656862745098039,0.03431372549019607
73,525.7172413793104,0.993103448275862,0.006896551724137945,732.773381294964,0.9820143884892086,0.017985611510791366,502.1453201970443,0.9704433497536946,0.029556650246305383
74,554.0551724137931,1.0,0.0,897.7625899280575,0.9712230215827338,0.02877697841726623,573.8855721393035,0.9850746268656716,0.014925373134328401
75,565.0068965517241,0.993103448275862,0.006896551724137945,697.3642857142858,0.9714285714285714,0.02857142857142858,376.1136363636364,0.8863636363636364,0.11363636363636365
76,466.8137931034483,1.0,0.0,829.5251798561151,0.9784172661870504,0.021582733812949617,301.22872340425533,0.9361702127659575,0.06382978723404253
77,391.55172413793105,0.8275862068965517,0.1724137931034483,635.9,0.8857142857142857,0.11428571428571432,394.4475524475524,0.8951048951048951,0.1048951048951049
78,444.36551724137934,0.993103448275862,0.006896551724137945,817.35,0.9785714285714285,0.021428571428571463,356.68837209302325,0.9116279069767442,0.08837209302325577
79,457.6896551724138,1.0,0.0,1033.7519379844962,0.9922480620155039,0.007751937984496138,476.0,0.9852216748768473,0.014778325123152691
80,431.9218390804598,0.9770114942528736,0.02298850574712641,657.0464285714286,0.9642857142857143,0.0357142857142857,350.38461538461536,0.9148351648351648,0.0851648351648352
81,413.51724137931035,1.0,0.0,672.6714285714286,0.9714285714285714,0.02857142857142858,306.4579439252336,0.9299065420560748,0.07009345794392519
82,392.6758620689655,0.993103448275862,0.006896551724137945,580.0428571428571,0.9785714285714285,0.021428571428571463,389.4782608695652,0.961352657004831,0.03864734299516903
83,353.77241379310345,0.9758620689655172,0.024137931034482807,655.9208633093525,0.9676258992805755,0.03237410071942448,302.7294117647059,0.9294117647058824,0.07058823529411762
84,1169.8592592592593,0.2962962962962963,0.7037037037037037,646.8854166666666,0.23958333333333334,0.7604166666666666,552.2083333333334,0.875,0.125
85,476.00689655172414,1.0,0.0,906.4604316546763,1.0,0.0,301.7081339712919,0.9330143540669856,0.06698564593301437
86,645.248275862069,0.9586206896551724,0.04137931034482756,810.0071942446043,0.9784172661870504,0.021582733812949617,394.5,0.9444444444444444,0.05555555555555558
87,455.5103448275862,0.9793103448275862,0.020689655172413834,932.0359712230215,0.9712230215827338,0.02877697841726623,369.71844660194176,0.9514563106796117,0.04854368932038833
88,403.2758620689655,0.9793103448275862,0.020689655172413834,579.6035714285714,0.9642857142857143,0.0357142857142857,402.4602409638554,0.9614457831325302,0.03855421686746985
