subjectid,flanker_rt,flanker_accuracy,flanker_error_rate,stroop_rt,stroop_accuracy,stroop_error_rate,sart_rt,sart_accuracy,sart_error_rate,stroop_rt_std,stroop_rt_mean_recalc,stroop_rt_median,stroop_congruent_rt,stroop_incongruent_rt,stroop_interference,flanker_rt_std,flanker_rt_mean_recalc,flanker_rt_median,flanker_congruent_rt,flanker_incongruent_rt,flanker_interference
52,388.6413793103448,0.986206896551724,0.0137931034482758,736.9855072463768,0.9782608695652174,0.0217391304347825,425.280193236715,0.966183574879227,0.0338164251207729,377.95889876300487,753.1386861313869,628.0,706.7971014492754,800.1617647058823,93.36466325660695,56.238674730191256,389.16783216783216,382.0,357.2535211267606,420.6388888888889,63.38536776212834
53,358.3586206896552,0.9793103448275862,0.0206896551724138,927.7720588235294,0.9485294117647058,0.0514705882352941,327.7586206896552,0.896551724137931,0.1034482758620689,491.4054443908231,976.5413533834586,863.0,903.3650793650794,1042.4,139.0349206349207,62.80978962995583,359.03521126760563,353.0,338.2083333333333,380.45714285714286,42.24880952380954
54,430.11034482758623,0.9793103448275862,0.0206896551724138,802.0220588235294,0.9852941176470588,0.0147058823529411,320.42788461538464,0.9471153846153846,0.0528846153846154,396.1511256785577,849.6086956521739,724.5,847.4776119402985,851.6197183098592,4.142106369560679,89.0071093112301,431.5211267605634,419.5,402.67123287671234,462.04347826086956,59.372245384157225
55,379.06206896551726,0.9689655172413794,0.0310344827586206,626.0358422939069,0.953405017921147,0.046594982078853,347.9686746987952,0.9518072289156626,0.0481927710843373,224.7973386966965,633.2846441947565,590.0,631.9469696969697,634.5925925925926,2.6456228956228642,60.65339911831817,380.4056939501779,371.0,360.44444444444446,401.3868613138686,40.942416869424164
56,424.8758620689655,0.986206896551724,0.0137931034482758,826.3629629629629,0.9851851851851852,0.0148148148148148,368.24285714285713,0.9476190476190476,0.0523809523809524,426.95205910541915,883.3260869565217,757.0,873.5217391304348,893.1304347826087,19.608695652173992,80.37024476430835,425.8951048951049,413.0,395.46478873239437,455.90277777777777,60.437989045383404
57,430.8137931034483,0.993103448275862,0.0068965517241379,858.2740740740741,0.9925925925925926,0.0074074074074074,327.9568965517241,0.9224137931034484,0.0775862068965517,360.18486930656985,868.2148148148148,780.0,868.9420289855072,867.4545454545455,-1.4874835309617538,73.88532978908567,432.0833333333333,415.5,393.63013698630135,471.61971830985914,77.98958132355779
58,415.77241379310345,1.0,0.0,822.5,0.9285714285714286,0.0714285714285714,328.875,0.9567307692307692,0.0432692307692307,286.2582789474412,798.4923076923077,743.0,694.820895522388,908.7460317460317,213.92513622364368,77.53975188640577,415.77241379310345,395.0,406.22222222222223,425.1917808219178,18.969558599695574
59,365.0551724137931,1.0,0.0,739.8214285714286,0.9428571428571428,0.0571428571428571,284.3248730964467,0.9137055837563453,0.0862944162436548,263.2037648603976,732.2878787878788,660.0,726.2121212121212,738.3636363636364,12.151515151515127,54.27985344878389,365.0551724137931,358.0,351.88732394366195,377.68918918918916,25.80186524552721
60,357.51724137931035,0.8827586206896552,0.1172413793103448,647.431654676259,0.9424460431654677,0.0575539568345323,335.77894736842103,0.9473684210526316,0.0526315789473684,268.6362372122528,660.2878787878788,585.0,586.1641791044776,736.6923076923077,150.5281285878301,99.39667903481282,363.96875,356.5,344.15492957746477,388.64912280701753,44.494193229552764
61,341.68275862068964,0.993103448275862,0.0068965517241379,606.2785714285715,0.9285714285714286,0.0714285714285714,325.2598039215686,0.965686274509804,0.034313725490196,185.7015796501358,600.9076923076923,547.0,568.4153846153846,633.4,64.98461538461538,29.69123596294022,341.6041666666667,341.0,332.4788732394366,350.47945205479454,18.000578815357926
